pais;codigo;continente;ano;expectativa_vida;pib_per_capita;populacao
Syria;SYR;Asia;1962;55,1;6051;4895005
Taiwan;TWN;Asia;1962;63,7;2326;11779060
Tanzania;TZA;Africa;1962;43,3;746;10644625
Thailand;THA;Asia;1962;52,8;1831;28242170
Togo;TGO;Africa;1962;43,2;1117;1706845
Trinidad and Tobago;TTO;North America;1962;63,4;10383;881519
Tunisia;TUN;Africa;1962;45,5;2198;4281749
Turkey;TUR;Asia;1962;52,4;3142;29033646
Uganda;UGA;Africa;1962;47;1106;8068828
United Kingdom;GBR;Europe;1962;70,9;14131;53183636
United States;USA;North America;1962;70,1;18976;181917808
Uruguay;URY;South America;1962;68;7498;2592448
Venezuela;VEN;South America;1962;59,5;12848;8754089
Vietnam;VNM;Asia;1962;60,1;1411;34533888
Yemen;YEM;Asia;1962;33,6;1554;5753393
Zambia;ZMB;Africa;1962;49,8;1443;3323429
Zimbabwe;ZWE;Africa;1962;54,1;1497;4049778
Afghanistan;AFG;Asia;1963;34;1298;9157463
Albania;ALB;Europe;1963;57,8;2491;1888302
Algeria;DZA;Africa;1963;42,9;2818;11969449
Angola;AGO;Africa;1963;37,8;2200;5599831
Argentina;ARG;South America;1963;64,4;8695;21364018
Australia;AUS;Oceania;1963;71;14983;10917377
Austria;AUT;Europe;1963;69,7;11454;7174878
Bahrain;BHR;Asia;1963;55,3;4772;179903
Bangladesh;BGD;Asia;1963;46,7;947;55094120
Barbados;BRB;North America;1963;66,5;6033;235884
Belgium;BEL;Europe;1963;70;12532;9288223
Benin;BEN;Africa;1963;39,3;1430;2638089
Bolivia;BOL;South America;1963;44,1;2742;3945728
Bosnia and Herzegovina;BIH;Europe;1963;63,3;3174;3448535
Botswana;BWA;Africa;1963;51,9;591;549046
Brazil;BRA;South America;1963;54,2;3623;79915560
Bulgaria;BGR;Europe;1963;70,4;5448;8108150
Burkina Faso;BFA;Africa;1963;37;1039;4998671
Burundi;BDI;Africa;1963;43,7;673;2948131
Cambodia;KHM;Asia;1963;43,9;1135;5913682
Cameroon;CMR;Africa;1963;42,9;1366;5427516
Canada;CAN;North America;1963;71,3;15248;18971014
Cape Verde;CPV;Africa;1963;50,9;1237;228823
Central African Republic;CAF;Africa;1963;40,8;1492;1776221
Chad;TCD;Africa;1963;39,1;972;3210298
Chile;CHL;South America;1963;57,2;7336;8656007
China;CHN;Asia;1963;51,4;1034;683903552
Colombia;COL;South America;1963;58,9;4140;17210954
Comoros;COM;Africa;1963;40,9;846;206557
Congo;COG;Africa;1963;50,1;2059;1142606
Costa Rica;CRI;North America;1963;61,6;4653;1498651
Cote d'Ivoire;CIV;Africa;1963;40;2378;4156459
Croatia;HRV;Europe;1963;67;6059;4311044
Cuba;CUB;North America;1963;64,9;2958;7736355
Cyprus;CYP;Europe;1963;62,3;4423;607079
Democratic Republic of Congo;COD;Africa;1963;40,6;1248;16517990
Denmark;DNK;Europe;1963;72,4;15513;4680814
Djibouti;DJI;Africa;1963;44,4;4092;97682
Dominica;DMA;North America;1963;58,7;1372;62051
Dominican Republic;DOM;North America;1963;51,8;2291;3635808
Ecuador;ECU;South America;1963;54,9;3698;5034337
Egypt;EGY;Africa;1963;47,7;1785;29245942
El Salvador;SLV;North America;1963;50,3;3096;3014882
Equatorial Guinea;GNQ;Africa;1963;42,5;1486;283026
Eswatini;SWZ;Africa;1963;46,9;1047;369535
Ethiopia;ETH;Africa;1963;42;818;23448974
Finland;FIN;Europe;1963;69,2;11148;4524291
France;FRA;Europe;1963;70,3;13330;47121244
Gabon;GAB;Africa;1963;48,5;4599;532603
Gambia;GMB;Africa;1963;36,5;1232;434181
Germany;DEU;Europe;1963;70,1;13367;74796216
Ghana;GHA;Africa;1963;47,6;2270;7458244
Greece;GRC;Europe;1963;70,7;6122;8541794
Guatemala;GTM;North America;1963;47,4;3762;4475720
Guinea;GIN;Africa;1963;37,2;689;3707953
Guinea-Bissau;GNB;Africa;1963;35,7;932;595807
Haiti;HTI;North America;1963;42,8;1675;4122264
Honduras;HND;North America;1963;50,3;2177;2267717
Hong Kong;HKG;Asia;1963;68;6381;3424355
Hungary;HUN;Europe;1963;68,9;6644;10083331
Iceland;ISL;Europe;1963;73;12366;185778
India;IND;Asia;1963;45,9;1242;477933632
Indonesia;IDN;Asia;1963;48,4;1557;95962536
Iran;IRN;Asia;1963;45,6;3867;23259096
Iraq;IRQ;Asia;1963;54,9;4578;7735816
Ireland;IRL;Europe;1963;70,2;7685;2824097
Israel;ISR;Asia;1963;71,1;8915;2160430
Italy;ITA;Europe;1963;69,3;11576;50555128
Jamaica;JAM;North America;1963;65,3;4395;1703872
Japan;JPN;Asia;1963;69,7;8176;97246712
Jordan;JOR;Asia;1963;55,6;4222;978607
Kenya;KEN;Africa;1963;50,8;1138;8697198
Kuwait;KWT;Asia;1963;60,2;40377;420500
Laos;LAO;Asia;1963;41,3;794;2273224
Lebanon;LBN;Asia;1963;65,7;5973;1971511
Lesotho;LSO;Africa;1963;50,3;995;809146
Liberia;LBR;Africa;1963;38,5;3598;1224170
Libya;LBY;Africa;1963;45,3;2322;1594767
